User,Retweet Degree,Reply Degree,Retweet Community,Reply Community,Multi Retweet In Degree,Multi Retweet Out Degree,Multi Retweet Degree,Multi Reply In Degree,Multi Reply Out Degree,Multi Reply Degree
3469,474,87,1,2,483,1068,1551,55,130,185
236,473,366,1,2,1077,855,1932,868,126,994
3205,473,202,1,2,164,1037,1201,224,276,500
6,471,192,0,0,839,433,1272,468,241,709
843,471,291,1,2,346,931,1277,280,435,715
2557,471,89,1,2,486,1294,1780,224,51,275
252,469,249,1,0,1335,330,1665,745,861,1606
3486,469,103,1,2,61,2182,2243,53,153,206
66,468,126,0,0,163,1443,1606,164,395,559
1536,467,153,1,0,489,917,1406,327,231,558
3025,467,275,1,2,23,1262,1285,26,474,500
117,466,357,1,2,1328,123,1451,1091,440,1531
3212,466,15,1,2,37,1768,1805,17,17,34
1291,465,157,0,0,359,587,946,415,67,482
1299,465,250,1,2,1565,104,1669,536,121,657
1471,465,282,1,0,117,1154,1271,190,526,716
1569,465,219,1,2,247,1539,1786,113,411,524
3575,465,57,0,0,17,1833,1850,36,143,179
193,464,157,1,2,226,1413,1639,116,161,277
227,464,253,1,2,24,1189,1213,29,522,551
1423,464,41,0,0,1164,1358,2522,114,43,157
3312,464,88,1,1,71,1765,1836,37,135,172
212,463,341,1,0,1108,227,1335,546,220,766
450,463,268,1,0,296,957,1253,165,621,786
1290,463,284,1,0,635,357,992,656,445,1101
1754,463,155,1,2,609,865,1474,358,70,428
3337,463,268,1,0,143,1144,1287,186,399,585
3978,463,224,1,2,68,1123,1191,96,395,491
136,462,373,1,2,994,256,1250,837,715,1552
1079,462,101,0,0,297,1396,1693,68,185,253
621,461,105,0,0,1027,957,1984,271,132,403
751,460,287,1,2,278,2034,2312,202,424,626
912,460,300,1,2,1235,278,1513,925,426,1351
1026,460,340,1,0,722,300,1022,653,626,1279
829,459,215,0,0,957,378,1335,828,480,1308
3591,459,313,1,2,1555,264,1819,641,270,911
2020,458,230,1,2,116,1261,1377,153,484,637
842,457,30,0,0,74,1535,1609,85,50,135
225,456,272,1,0,1774,288,2062,645,235,880
695,456,261,0,0,935,169,1104,636,737,1373
988,456,123,0,0,97,1828,1925,39,181,220
2249,456,450,1,2,234,744,978,192,810,1002
1364,455,185,1,0,427,1488,1915,220,257,477
3117,455,69,1,2,309,1881,2190,104,8,112
3470,455,249,0,0,17,1502,1519,45,555,600
1399,454,188,0,0,772,332,1104,325,93,418
2652,454,166,1,2,55,1822,1877,23,364,387
1521,453,216,0,0,1099,281,1380,504,530,1034
1816,453,195,1,0,53,915,968,115,365,480
2634,453,308,1,2,2320,0,2320,1016,0,1016
665,452,115,0,0,1320,873,2193,143,221,364
2554,452,225,1,2,40,1207,1247,61,471,532
694,451,284,1,0,274,775,1049,391,680,1071
1400,451,310,1,0,1382,442,1824,1288,886,2174
3758,451,332,1,2,551,547,1098,147,743,890
272,450,185,1,0,449,875,1324,278,140,418
646,450,378,1,2,678,402,1080,731,463,1194
2558,450,91,1,2,192,947,1139,140,21,161
545,449,67,0,0,1315,1446,2761,135,103,238
613,449,223,1,2,254,592,846,217,330,547
993,449,191,1,2,412,651,1063,198,199,397
463,447,125,0,1,1054,86,1140,258,68,326
1682,447,293,1,2,315,671,986,262,579,841
2501,446,173,1,0,29,1648,1677,79,421,500
268,445,58,0,0,305,1313,1618,33,53,86
505,445,236,1,0,824,1004,1828,569,446,1015
679,445,343,1,2,859,639,1498,899,138,1037
1080,445,306,1,2,355,1031,1386,165,675,840
1096,445,313,0,0,140,751,891,148,592,740
1906,445,216,0,0,1361,514,1875,695,380,1075
3636,445,128,1,2,37,1530,1567,24,198,222
269,444,81,1,2,23,1453,1476,22,94,116
388,444,176,0,0,405,488,893,488,440,928
484,444,88,1,2,1386,1482,2868,140,2,142
1877,443,103,1,0,475,1031,1506,138,64,202
2695,443,218,1,2,192,1056,1248,211,430,641
