User,Retweet Degree,Reply Degree,Retweet Community,Reply Community
1464,280,99,0,1
1807,280,133,0,0
1178,279,86,0,0
1357,279,232,2,2
1422,279,345,1,2
1452,279,176,0,0
1494,279,227,2,1
1697,279,466,1,0
138,278,74,0,0
651,278,107,0,0
844,278,221,1,2
2559,278,60,0,1
3186,278,124,0,0
3869,278,261,1,0
348,277,42,0,0
426,277,181,1,2
557,277,119,0,0
1044,277,91,0,1
2141,277,134,1,2
3492,277,234,0,0
583,276,161,1,0
771,276,113,0,1
967,276,38,0,0
1005,276,33,0,1
1138,276,290,0,0
1426,276,168,0,0
1639,276,110,1,1
19,275,257,1,2
1340,275,183,0,0
3670,275,88,0,0
1389,274,220,1,2
1403,274,272,0,0
1463,274,99,0,0
2693,274,40,0,0
170,273,47,0,0
251,273,281,2,1
1533,273,101,0,0
3959,273,158,0,0
435,272,141,0,1
741,272,142,1,0
845,272,51,0,1
1489,272,134,0,0
3472,272,210,0,0
1246,271,90,0,1
211,270,153,1,0
1549,270,65,0,0
1614,270,152,1,0
758,269,196,0,1
787,269,37,0,1
1969,269,215,1,0
3360,269,318,1,0
1609,268,78,0,0
3538,268,278,0,0
770,267,194,0,0
1709,267,81,0,0
2078,267,77,0,0
195,266,156,0,0
486,266,235,1,2
2842,266,69,0,1
1094,265,330,0,0
1134,265,123,0,0
2337,265,257,1,1
1228,264,110,0,1
1237,264,184,0,0
1648,264,83,0,0
1939,264,78,0,1
604,263,275,1,2
800,263,98,0,0
1031,263,61,0,0
1974,263,157,0,0
3434,263,54,0,1
3437,263,109,0,0
1366,262,162,0,0
3611,262,11,0,1
184,261,296,2,1
401,261,311,1,0
743,261,165,0,0
1798,261,22,0,0
2731,261,330,1,2
424,260,142,0,0
2631,260,22,0,1
328,259,141,0,0
442,259,116,0,0
716,259,98,0,1
1878,259,67,0,0
3914,259,85,1,0
605,258,28,0,1
1628,258,16,0,0
2137,258,329,1,1
3124,258,165,0,0
518,257,145,0,1
1267,257,112,0,1
1618,257,50,0,0
2178,257,21,0,0
3100,257,87,0,0
177,256,137,1,2
250,256,260,2,1
1623,256,63,0,1
1728,256,3,0,0
2791,256,360,1,2
3116,256,93,0,1
94,255,274,2,1
2413,255,14,0,1
3086,255,78,0,0
3325,254,297,1,0
3824,254,47,1,0
1715,253,404,1,0
2578,253,183,2,1
3241,253,87,0,0
3692,253,73,0,2
3832,253,61,0,0
589,252,37,0,1
1085,252,104,1,1
1507,252,55,1,0
2145,252,119,1,1
3304,252,108,0,0
3321,252,251,1,0
3599,252,92,0,0
1449,251,244,1,0
271,250,127,1,2
530,250,85,0,1
1363,250,163,0,0
2195,250,210,1,1
380,249,39,0,0
185,248,125,0,0
615,248,336,1,2
1176,248,173,0,0
1424,248,189,2,1
573,247,355,0,2
1087,247,129,0,1
2900,247,21,0,0
1722,246,68,0,0
2260,246,29,0,1
169,245,260,1,0
1883,245,76,1,2
3769,245,28,1,0
643,244,54,0,1
1250,244,329,1,2
1492,244,119,0,0
3455,244,114,0,0
3957,244,65,0,1
863,243,275,1,0
1102,243,101,1,0
1115,243,60,0,1
2743,243,296,1,2
2941,243,77,0,1
3688,243,326,2,1
631,242,236,1,0
936,242,32,0,0
1077,242,195,1,2
3029,242,48,0,0
3625,242,89,0,0
3865,242,310,1,1
1081,241,58,0,0
1681,241,225,0,0
2187,241,140,1,2
2610,241,131,2,1
3028,241,149,0,0
3101,241,49,0,0
3792,241,23,0,0
485,240,131,2,1
1732,240,98,0,0
1894,240,37,0,0
1934,240,16,0,0
816,239,127,0,0
2050,239,348,1,2
2381,239,245,1,2
2736,239,24,0,0
3463,239,163,1,0
353,238,105,0,1
1180,238,55,0,1
1603,238,65,0,0
3452,238,260,0,0
44,237,91,0,0
214,237,419,0,0
905,237,162,2,1
1328,237,56,0,1
2861,237,43,0,1
3665,237,131,1,0
308,236,76,1,2
1051,236,95,0,1
1460,236,10,0,0
2118,236,117,0,1
780,235,103,0,0
1836,235,498,2,0
2916,235,122,0,0
314,234,70,0,0
1354,234,104,0,0
1470,234,100,0,0
1534,234,348,1,2
1891,234,116,2,1
2250,234,230,1,2
2931,234,220,1,2
4,233,117,0,0
875,233,113,0,0
457,232,142,0,0
462,232,232,2,1
610,232,56,0,0
1114,232,41,0,1
1154,232,119,0,0
1395,232,87,0,0
1437,232,75,1,0
1572,232,101,2,1
1588,232,103,0,0
1516,231,369,1,2
1522,231,370,1,2
1647,231,373,0,0
1989,231,141,0,0
3096,231,71,0,1
3691,231,41,0,0
540,230,105,0,1
2248,230,89,0,0
2319,230,97,2,1
3854,230,52,0,0
279,229,451,2,1
1767,229,205,0,0
2470,229,101,1,2
284,228,27,1,0
1561,228,290,1,0
1622,228,64,0,0
2276,228,84,0,0
2696,228,40,0,1
3085,228,54,0,0
97,227,246,2,1
112,227,210,0,0
139,227,63,0,0
466,227,5,1,2
752,227,65,0,1
1633,227,81,0,0
2161,227,237,1,0
3243,227,274,1,2
3907,227,39,2,1
4027,227,48,0,0
546,226,252,1,2
721,226,142,0,0
995,226,53,1,1
1223,226,35,0,0
1523,226,25,0,0
2867,226,30,0,1
3050,226,38,0,1
3377,226,90,0,1
3706,226,117,0,0
1189,225,34,0,1
1431,225,177,2,1
2953,225,99,0,1
3283,225,50,0,0
98,224,70,0,2
472,224,61,2,1
989,224,157,1,0
1297,224,152,0,1
1362,224,50,0,0
